Comment,Comment ID,Replies Count,Like Count,Updated At
"Blackpink:
Rose!
Jisoo!
Jennie!
Lisa!
They are so pretty!",UgxHMC_R14xV_IXMwGp4AaABAg,129,12879,2020-06-26T15:46:32Z
"for who spamming comment: look at anonymous twitter post :D 
edit: they posted themselves with blackpink's pillow

edit 2: I'm Turkish Blink <3",UgzNtWj5-U9ppAECTP94AaABAg,106,12804,2020-06-27T04:38:33Z
"Rose slayed, she is real queen her acting is on point !! She is like a Ice Queen!! Or Fairy!


Edit: I didn't expect that my comment would get so many likes, thank you  so much  and yess THEY ALL SLAYED ,THEY ALL ARE QUEENS!",UgxnUCmYkzF1UjFULVp4AaABAg,295,12493,2020-06-27T10:13:10Z
"Eu esperando a Jisoo falar Blackpink in your area:🤡


PELO AMOR DE DEUS ELAS ARRASARAM PACAS

Edit:
mano do ceu to famosa ;-;
E DE ONDE CARALH0S SEIS TIRARAM Q EMOJI TRAVA VI3WS ? .,.",UgxvOQXMFb1W9pfunNF4AaABAg,492,12416,2020-07-04T17:37:41Z
"I think the reason yg rarely makes blackpink comeback is because its big. And when I say big, its just BIG. Like just look at those background props damn. Their mvs are so grand its like throwing money everywhere. Im not complaining tho🤩",UgxC_77-Un4ngjrJjZp4AaABAg,282,12298,2020-06-27T07:43:09Z
THIS SONG SLAPPED PERIOD. LOOK AT U NOW LOOK AT ME This is my first comeback with Blackpink and I am BEYOND satisfied,UgwfuuzxfQiaTLYFObx4AaABAg,112,11958,2020-06-26T16:10:29Z
G-DRAGON POST THIS ON HIS STORY,UgxMImUxXE2OdvUJMXp4AaABAg,200,11847,2020-06-26T15:46:58Z
This is song is so addictive I can't stop listening to it.,UgxVIJSI5saSmkOTfvp4AaABAg,197,11787,2020-06-27T07:43:31Z
Lisa’s black hair actually look cool,UgyYJEkdlUYpnNtpNf54AaABAg,68,11737,2020-06-26T11:47:03Z
"Oke, BLACKPINK IN YOUR AREA! LUVV U",Ugw3gwIMAuOaTsYs1Sx4AaABAg,99,11560,2020-06-26T15:47:12Z
"JISOO WASN'T LYING WHEN SHE SAID BADDA BING BADDA BOOM QODOWOOCW

Clarification: it was lisa's line in the song, but i was referring to jisoo who gave spoilers in 24/365! Everyone thought she was referring to the vibe of boombayah and not the actual line. I'll link up 24/365 here for y'all. https://youtu.be/ZjGiK87EaQ0",UgxPUUN2C8BJGBALtFd4AaABAg,85,11526,2020-06-27T02:58:32Z
"Me : aahh Lisa !!!


Lisa: ""Blackpink in your area""",UgzVFQ9gVb6TxaCVett4AaABAg,138,11412,2020-06-26T15:46:35Z
"*BLACKPINK IN YOUR AREA*
Jennie : A goddess
Jisoo : A goddess 
Rosé : A goddess
Lisa : A goddess 
They all came to slay. You better hype them up.",UgxsY_ZiAd1scBaM3D94AaABAg,101,10998,2020-06-26T11:46:49Z
"They actually look like they’re having fun


Edit:thank you guys so much for so many  likes I really appreciate it",UgxV5OgeYL_ngLRKvQp4AaABAg,67,10932,2020-06-26T18:21:32Z
"Corona: I’m going to make everyone depressed and unhappy 
blackpink: How you like that?

thanks for so many likes!!!",UgyUNZyG5cCooXAnPSx4AaABAg,106,10708,2020-06-28T10:02:19Z
We love BLACKPINK!,UgwWbm7mFzkNDpPRkqJ4AaABAg,177,10610,2020-06-26T16:44:24Z
"this song marked the return of BLACKPINK after 1 year has not appeared. i really like it.
HA HOW YOU LIKE THAT!!!!!",UgxVMtIKyd2rpt-0Zvd4AaABAg,63,10304,2020-06-26T15:47:49Z
"Am I the only one who is seeing lisa's bangs are moving...



We did it BLINKS we broke the record for most viewed MV in 24 hours passing BTS ""BOY WITH LUV"" WE ARE REALLY POWERFULL....
(Not to start any miss understanding)
(I am an ARMY & BLINK)",UgxjJ0qznCLkQU8R98x4AaABAg,205,10300,2020-06-27T23:17:27Z
"""Karma come and get some""  - Lalisa Manoban",UgxMCB3bnkQ_PGcrWP94AaABAg,139,10162,2020-06-26T15:47:48Z
"‼‼‼ STOP SPAMMING THE COMMENTS ‼‼‼

Please show some love for the MV and our girls instead. The lyrics of the song is actually very meaningful. The MV is high budget, the girls are so fine as hell. They put a lot of effort in this so please appreciate the MV instead of fishing for likes.",Ugylt7OAeFHOZ2Vo7Sx4AaABAg,160,10029,2020-06-26T11:46:44Z
70m in one day!! Don't stop to listen bp deserves it.,UgzpIEUILX47cw0jaVR4AaABAg,289,9951,2020-06-26T15:48:11Z
"!!!PLEASE SPREAD!!! 

Those who are commenting  ""no one:  literally no one: Everyone :comments this and gets nothing of likes"" They do this to block vi3ws.
They are also doing this in the comments of stay gold by BTS to sabotage them. 
Please report these comments. (sorry for my english but i'm italian)",UgyyhYmPiVCapZuLj7B4AaABAg,270,9883,2020-06-26T15:47:09Z
"REMEMBER THIS IS A PRE RELEASE SINGLE! NOT EVEN THE TITLE TRACK FOR THEIR UPCOMING ALBUM! AND THEYVE ACHIEVED SO MUCH! THEY GOT 1st and 2nd  ROOFTOP HIT, ON GENIE (16 in total) AND MELON(3 in total) (FIRST AND ONLY IDOL GROUP TO DO SO IN 2020)! AND THEY DEBUTED STRAIGHT TO #1 on melon MAKING THEM THE FIRST GIRL GROUP IN 2020 TO DO SO.

More achievements: 
- 1 million digital sales in China, surpassing IU, making HYLT the best selling Korean single/ album in China this year
- HYLT: certified 3x Platinum on QQ music (Chinese music chart), fastest Korean song to do so ever))
- UPDATE: CERTIFIED DIAMOND ON QQ MUSIC, now BEST SELLING FOREIGN FEMALE ACT IN CHINA! 
- 67 (#)1s on iTunes, making them the girl group, in general, to have the most #,1s in Itunes
- Highest first 24 hours unique listeners on melon, only in 1st hour of the release!!!)
(102, 725 listeners)  (861,978 unique listeners, HIGHEST UNIQUE LISTENRS BY AN IDOL GROUP IN MELON!)))
- Most subscribed kpop act in YouTube surpassing BIGHIT ENT.!
- biggest premiere ever on youtube, with an astounding 1,7 million people!
- trending at #(1) Worldwide on youtube in 71 countries 
- Most viewed video in the first 24 hours of YouTube's history! 82 million + views!
- became the song with the highest daily streams in the Philippines (514,546), surpassing Chainsmoker's ""Closer"" + in Indonesia, surpassing Shawn Mendes & Camila Cabello ""Señorita"" (HYLT: 560,250)
- Is the only korean girl group to achieve a Real Time All Kill this decade! (3 Raks)
- BLACKPINK holds the 2 highest charting Korean act song in Spotify Global Chart! ""HYLT"" and ""Sour Candy"" both peaked at #2!!
- BLACKPINK broke the record for the most monthly listeners in Spotify (for a kpop act), even before their pre release single was released. (21,298,970 monthly listeners) 
- FIRST IDOL GROUP IN 2020 TO ACHIEVE A CERTIFIED PAK! First group after BTS's BWL! + 22** RAKs
- spends 5 consecutive days in #1 WORLD wide itunes!
- HYLT is the most viewed music video, and video in general, to surpass 86,3 million views in the first 24 hours!

Credits: @bpinksnews on Insta",Ugx5c_HEfkKzFv6rSi94AaABAg,201,9815,2020-07-05T17:41:48Z
"Can we appreciate how great they performed for their comeback i mean this is really a masterpiece 
They killed it.
I can't get the song off my head i literally sang it everyday, i'm really addicted to this powerful song.",Ugwb_vLdY-NLWOWoh9t4AaABAg,68,9735,2020-07-04T19:01:01Z
"GOAL:
V7ews: 220M
Comments: 2.1M
Likes:11.1M

WE GOT IT BLINKS",UgxPN5SnSoF0V3_0Mnt4AaABAg,279,9489,2020-07-04T16:27:13Z
"Me encanto!! Esperaba que Jisoo fuera la que dijera el icónico ""Blackpink in your area"" :'v 

Alguien más que pensó igual que yo? Preséntense con su like",Ugzb-OGTutP7i0DwalF4AaABAg,371,9234,2020-06-26T19:54:51Z
their duality when i watched the “making film” and mv itself. from babies to badasses,Ugz5w1e4SpIrcIChaoB4AaABAg,77,9179,2020-06-26T15:47:16Z
CAN EVERYONE STOP COMMENTING THE SAME THING !!! :/ . ONE PERSON DOES IT THEN THE REST FOLLOWING THE CROWD -_-,UgzXc6VtLiP0wYsxmiR4AaABAg,201,8967,2020-06-26T20:56:16Z
jisoo queen,UgzQjA7bt9XseMzJQE54AaABAg,128,8964,2020-06-26T11:46:57Z
A fan's reflection based on their idols. Hope they'll be proud of you all. I love you,UgxVVHjXcwOZWe6znfV4AaABAg,56,8958,2020-06-26T15:47:18Z
Rosé serving us with hair that makes everyone envious! Her vocal game is on point!!,UgyerEKgKHsoOnke5Dl4AaABAg,60,8870,2020-06-26T11:45:18Z
"Stop commenting 
""Comments this and gets hundred of likes "" it's stupid and now all the comments are like that",Ugyy5ATiAfj-N30ZHgx4AaABAg,132,8836,2020-06-26T11:46:49Z
"Blackpink : They can sing, they can dance, they can rap and more*


*Me : I can eat water...*",UgxveM_3oqFsSxay2Od4AaABAg,151,8709,2020-06-26T11:45:23Z
I just realized that they wear hanbok on their dancebreak,Ugx4Cbyz8PM73yj5_tJ4AaABAg,114,8695,2020-06-26T15:46:22Z
BRUH they all slayed but Lisa... she can drag me by my wig,Ugwxxlrfr0UTdqnNKFF4AaABAg,84,8682,2020-06-26T17:55:41Z
"Lisa and Jennie : Look at you now look at me
Me: quickly grab a mirror",UgzP0vYjlG5525Zu2hR4AaABAg,132,8351,2020-06-27T07:41:34Z
"Blink should write positive comments, come on!!!",UgwLpcSXRihhDWpDIjB4AaABAg,127,8334,2020-06-26T15:47:18Z
"Blink don't hate ARMY and 
ARMY don't hate Blinks !!
These are just haters of both groups!!!",UgwPbWgdmAScnZWJFdZ4AaABAg,297,7973,2020-06-26T15:46:55Z
"BLACKPINK: Look up in the sky it’s a bird it’s a plane

Me: No it’s my wig and my sanity",UgyddrbxiFBhmE9NKY54AaABAg,74,7935,2020-06-26T19:43:47Z
this song was so good the music video was bomb blackpink never fails to impress me with every song,UgxxkzY5s0W42hqEo-54AaABAg,97,7828,2020-06-26T15:47:25Z
"JENNIE's haircut 
Start: Long Hair

End: Short Hair",Ugyj7LoDsSukuTAjMeZ4AaABAg,72,7620,2020-06-26T11:44:42Z
"Jennie - ice queen
Jisoo - flower princess
Rosé - beauty of darkness
Lisa - exotic traveler babe 
Me - a potato",UgwBeabWLs47L9IBAPh4AaABAg,122,7563,2020-06-27T01:46:52Z
"Jisoo is so gorgeous, I am obssesed with her",Ugyhn6dA1GE0eeIpBKV4AaABAg,87,7556,2020-06-26T15:47:13Z
"O conceito dessa música e bastante diferente,e eu amei muito,como sempre BLACKPINK não falha



Edt: mãe estou famosa!!!quantos likes!!!!",Ugxee4Darrxm6kb-hlR4AaABAg,418,7487,2020-06-27T01:48:34Z
